Title,Author,Video Link
Fourier series,by gabkosit,https://www.desmos.com/calculator/lab9nylxsi
Sine Function (with unit circle),by Meghan Riling,https://www.desmos.com/calculator/d6dgbzycfe
sinx/x,by \u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u041a\u043e\u043d\u043e\u043d\u043e\u0432,https://www.desmos.com/calculator/wp8ine4hmf
Pentagram,by Thomas Beasley,https://www.desmos.com/calculator/89ysjvjdqs
Circle Demo!,by Andrew Murray,https://www.desmos.com/calculator/gojtzw3ral
rampe,by \u00c9ric D\u00c9TREZ,https://www.desmos.com/calculator/5x7tmalkuh
Jack's Works #1,by jackgeddins,https://www.desmos.com/calculator/2xd27mao80
Demonstration of sine,by Evan Rudibaugh,https://www.desmos.com/calculator/noubctwboe
M\u00f6bius's band,by Vicente AlfaRo,https://www.desmos.com/calculator/dpaofym9pk
polarkoordinaten,by Simon Schl\u00e4pfer,https://www.desmos.com/calculator/6ket1q8401
Taylor Series of degree D at x_0 for sin(x),by Evan Rudibaugh,https://www.desmos.com/calculator/hmmutc9ija
Aproksymacja liczby pi,by Rados\u0142aw D\u0105browski,https://www.desmos.com/calculator/i2mgzj5dwe
Areas Between Curves,by Thomas A Kuczmarski,https://www.desmos.com/calculator/g92zg0tbj1
Limit Definition of Derivative,by Matthew DiDonato,https://www.desmos.com/calculator/jurnqtcltf
Parabola construction,by michieldrost,https://www.desmos.com/calculator/rmbn2u1ebn
"3D Vector Field (Finished, but slow)",by Evan Rudibaugh,https://www.desmos.com/calculator/fxyblyiik6
Quadratics: Vertex and Axis of Symmetry,by Luke Walsh,https://www.desmos.com/calculator/hgaq5tpaca
Spirographer,by Evan Rudibaugh,https://www.desmos.com/calculator/m1olsmeibu
Vector Field Generator,by Evan Rudibaugh,https://www.desmos.com/calculator/eijhparfmd
A example of topology,by Vicente AlfaRo,https://www.desmos.com/calculator/r35eyt51ca
Ellipse with foci,by Ronald Williams,https://www.desmos.com/calculator/7syd6xjvvq
The effect of a in the standard format,by Evan Rudibaugh,https://www.desmos.com/calculator/j5nokklipc
Bezier Curves,by Christopher Hinton,https://www.desmos.com/calculator/cahqdxeshd
Gradient grapher for z=xy,by Evan Rudibaugh,https://www.desmos.com/calculator/el5syd7ugj
Fastest path to point,by Eric,https://www.desmos.com/calculator/mxsu0bpdws
Parabolic Tangents,by Aldo Torres,https://www.desmos.com/calculator/tltkdqrfkj
Blank Unit Circle (16 points),by Rebecka Peterson,https://www.desmos.com/calculator/da8j8dy1g1
